instance_id,repo,language_group,route,arm,candidate_count,candidate_span_coverage,span_recall@1,file_recall@5,span_recall@5,span_all@5,span_recall@10,span_mrr,retrieval_ms,rerank_ms,stage_sum_ms,rerank_recorded_cost_usd,failed_calls
scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,Python,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.54045210778713,0.0,432.54045210778713,0.0,0
sharkdp__bat-2201,sharkdp/bat,Rust,bm25,unreranked,100,1.0,0.0,0.5,1.0,1.0,1.0,0.5,28.791284188628197,0.0,28.791284188628197,0.0,0
sharkdp__bat-2260,sharkdp/bat,Rust,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,26.518174447119236,0.0,26.518174447119236,0.0,0
sharkdp__bat-2650,sharkdp/bat,Rust,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.27721121162176,0.0,47.27721121162176,0.0,0
sharkdp__bat-3108,sharkdp/bat,Rust,bm25,unreranked,100,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,14.45488166064024,0.0,14.45488166064024,0.0,0
sympy__sympy-11618,sympy/sympy,Python,bm25,unreranked,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.44113646447659,0.0,72.44113646447659,0.0,0
sympy__sympy-12096,sympy/sympy,Python,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,180.17935659736395,0.0,180.17935659736395,0.0,0
sympy__sympy-12419,sympy/sympy,Python,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0250618234277,0.0,653.0250618234277,0.0,0
sympy__sympy-13031,sympy/sympy,Python,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.66059444099665,0.0,255.66059444099665,0.0,0
tokio-rs__tokio-4898,tokio-rs/tokio,Rust,bm25,unreranked,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,132.15082604438066,0.0,132.15082604438066,0.0,0
tokio-rs__tokio-6551,tokio-rs/tokio,Rust,bm25,unreranked,100,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,121.04773800820112,0.0,121.04773800820112,0.0,0
tokio-rs__tokio-6603,tokio-rs/tokio,Rust,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.88512016832829,0.0,219.88512016832829,0.0,0
tokio-rs__tokio-6752,tokio-rs/tokio,Rust,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,1.0,0.125,224.89014361053705,0.0,224.89014361053705,0.0,0
uutils__coreutils-6575,uutils/coreutils,Rust,bm25,unreranked,100,1.0,0.0,1.0,0.2,0.0,0.6,0.3333333333333333,61.52461003512144,0.0,61.52461003512144,0.0,0
uutils__coreutils-6682,uutils/coreutils,Rust,bm25,unreranked,100,1.0,0.5,1.0,1.0,1.0,1.0,1.0,119.26469393074512,0.0,119.26469393074512,0.0,0
uutils__coreutils-6690,uutils/coreutils,Rust,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,0.0,0.024390243902439025,50.070472061634064,0.0,50.070472061634064,0.0,0
uutils__coreutils-6731,uutils/coreutils,Rust,bm25,unreranked,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.32891681045294,0.0,61.32891681045294,0.0,0
valkey-io__valkey-1842,valkey-io/valkey,C++/C,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,1.0,0.125,166.9632624834776,0.0,166.9632624834776,0.0,0
valkey-io__valkey-790,valkey-io/valkey,C++/C,bm25,unreranked,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.7344903349876,0.0,767.7344903349876,0.0,0
valkey-io__valkey-928,valkey-io/valkey,C++/C,bm25,unreranked,100,1.0,0.0,1.0,0.0,0.0,0.0,0.027777777777777776,637.0415417477489,0.0,637.0415417477489,0.0,0
vuejs__core-11589,vuejs/core,TypeScript/JavaScript,bm25,unreranked,100,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,111.951126717031,0.0,111.951126717031,0.0,0
vuejs__core-11870,vuejs/core,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.05,69.0459767356515,0.0,69.0459767356515,0.0,0
vuejs__core-11915,vuejs/core,TypeScript/JavaScript,bm25,unreranked,100,1.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,39.00813963264227,0.0,39.00813963264227,0.0,0
