instance_id,repo,language_group,bm25_span_coverage@50,bm25_span_coverage@100,bm25_span_coverage@200,bm25_span_coverage@500,bm25_span_coverage@1000,grep_candidate_count,grep_span_coverage,union100_span_coverage,planner_ms,bm25/bm25/span_recall@1,bm25/bm25/span_recall@5,bm25/bm25/span_recall@10,bm25/bm25/file_recall@5,bm25/bm25/span_mrr,bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@1,bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@5,bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@10,bm25/Qwen/Qwen3-Reranker-0.6B/file_recall@5,bm25/Qwen/Qwen3-Reranker-0.6B/span_mrr,bm25/Qwen/Qwen3-Reranker-4B/span_recall@1,bm25/Qwen/Qwen3-Reranker-4B/span_recall@5,bm25/Qwen/Qwen3-Reranker-4B/span_recall@10,bm25/Qwen/Qwen3-Reranker-4B/file_recall@5,bm25/Qwen/Qwen3-Reranker-4B/span_mrr,bm25/typesafe/jev-1.13/span_recall@1,bm25/typesafe/jev-1.13/span_recall@5,bm25/typesafe/jev-1.13/span_recall@10,bm25/typesafe/jev-1.13/file_recall@5,bm25/typesafe/jev-1.13/span_mrr,grep/grep/span_recall@1,grep/grep/span_recall@5,grep/grep/span_recall@10,grep/grep/file_recall@5,grep/grep/span_mrr,grep/Qwen/Qwen3-Reranker-0.6B/span_recall@1,grep/Qwen/Qwen3-Reranker-0.6B/span_recall@5,grep/Qwen/Qwen3-Reranker-0.6B/span_recall@10,grep/Qwen/Qwen3-Reranker-0.6B/file_recall@5,grep/Qwen/Qwen3-Reranker-0.6B/span_mrr,grep/Qwen/Qwen3-Reranker-4B/span_recall@1,grep/Qwen/Qwen3-Reranker-4B/span_recall@5,grep/Qwen/Qwen3-Reranker-4B/span_recall@10,grep/Qwen/Qwen3-Reranker-4B/file_recall@5,grep/Qwen/Qwen3-Reranker-4B/span_mrr,grep/typesafe/jev-1.13/span_recall@1,grep/typesafe/jev-1.13/span_recall@5,grep/typesafe/jev-1.13/span_recall@10,grep/typesafe/jev-1.13/file_recall@5,grep/typesafe/jev-1.13/span_mrr,base_aligned/bm25/candidate_span_coverage,base_aligned/bm25/Qwen/Qwen3-Reranker-0.6B/span_recall@5,base_aligned/bm25/Qwen/Qwen3-Reranker-4B/span_recall@5,base_aligned/bm25/typesafe/jev-1.13/span_recall@5,base_aligned/grep/candidate_span_coverage,base_aligned/grep/Qwen/Qwen3-Reranker-0.6B/span_recall@5,base_aligned/grep/Qwen/Qwen3-Reranker-4B/span_recall@5,base_aligned/grep/typesafe/jev-1.13/span_recall@5
caddyserver__caddy-6115,caddyserver/caddy,Go,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,4336.090660654008,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
facebook__docusaurus-10130,facebook/docusaurus,TypeScript/JavaScript,1.0,1.0,1.0,1.0,1.0,27,1.0,1.0,4984.197864308953,0.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
facebook__docusaurus-10309,facebook/docusaurus,TypeScript/JavaScript,0.0,1.0,1.0,1.0,1.0,28,1.0,1.0,5563.559542410076,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
facebook__docusaurus-8927,facebook/docusaurus,TypeScript/JavaScript,1.0,1.0,1.0,1.0,1.0,11,0.0,1.0,6244.022419676185,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.2,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
facebook__docusaurus-9897,facebook/docusaurus,TypeScript/JavaScript,0.0,0.0,0.0,1.0,1.0,8,0.0,0.0,4698.817857541144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fmtlib__fmt-2310,fmtlib/fmt,C++/C,1.0,1.0,1.0,1.0,1.0,42,0.5,1.0,4233.438931405544,0.0,0.0,0.0,1.0,0.06666666666666667,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.024390243902439025,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
fmtlib__fmt-2317,fmtlib/fmt,C++/C,0.0,0.0,0.0,0.0,1.0,21,0.0,0.0,4692.028003744781,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fmtlib__fmt-3248,fmtlib/fmt,C++/C,0.0,1.0,1.0,1.0,1.0,25,1.0,1.0,4396.418032236397,0.0,0.0,0.0,0.0,0.012987012987012988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gin-gonic__gin-1805,gin-gonic/gin,Go,0.0,0.0,0.0,1.0,1.0,57,1.0,1.0,3059.075395576656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
gin-gonic__gin-2121,gin-gonic/gin,Go,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,2850.678795017302,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
